,breed,Energy Level,Exercise Requirements,Playfulness,Affection Level,Friendliness to Dogs,Friendliness to Other Pets,Friendliness to Strangers,Watchfulness,Ease of Training,Grooming Requirements,Heat Sensitivity,Vocality
1575,Shetland Sheepdog,3.0,3.0,3.0,3.0,4.0,4.0,1.0,1.0,5.0,4.0,3.0,5.0
1576,Labrador Retriever,4.0,3.0,5.0,5.0,4.0,5.0,5.0,2.0,5.0,2.0,3.0,4.0
1577,Miniature Schnauzer,3.0,3.0,4.0,4.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,5.0
1578,Lhasa Apso,3.0,2.0,3.0,3.0,2.0,3.0,1.0,1.0,1.0,4.0,4.0,5.0
1579,Border Collie,5.0,5.0,4.0,3.0,3.0,1.0,2.0,3.0,5.0,3.0,3.0,4.0
1580,German Shepherd,3.0,4.0,2.0,3.0,1.0,3.0,2.0,5.0,5.0,2.0,3.0,5.0
1581,Newfoundland,2.0,2.0,3.0,5.0,4.0,5.0,5.0,4.0,3.0,3.0,5.0,3.0
1582,Pug,3.0,2.0,4.0,4.0,3.0,3.0,2.0,1.0,3.0,2.0,5.0,5.0
1583,Rottweiler,3.0,3.0,2.0,2.0,1.0,2.0,1.0,5.0,3.0,1.0,4.0,5.0
1584,Smooth Fox Terrier,4.0,3.0,4.0,4.0,3.0,2.0,4.0,1.0,4.0,1.0,3.0,5.0
1585,Rat Terrier,4.0,3.0,5.0,4.0,3.0,3.0,2.0,2.0,4.0,1.0,2.0,5.0
1586,Bichon Frise,4.0,2.0,5.0,5.0,4.0,4.0,5.0,1.0,4.0,5.0,3.0,4.0
1587,Jack Russell Terrier,5.0,4.0,5.0,3.0,2.0,1.0,3.0,2.0,3.0,3.0,3.0,5.0
1588,Harrier,4.0,4.0,3.0,3.0,5.0,3.0,4.0,1.0,2.0,1.0,3.0,5.0
1589,Pointer,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,1.0,3.0,4.0
1590,Parson Russell Terrier,5.0,4.0,5.0,3.0,2.0,1.0,3.0,2.0,3.0,3.0,3.0,5.0
1591,Australian Shepherd,4.0,5.0,5.0,4.0,3.0,3.0,2.0,4.0,5.0,3.0,3.0,5.0
1592,Chow Chow,1.0,2.0,1.0,2.0,1.0,3.0,1.0,4.0,1.0,3.0,5.0,5.0
1593,Australian Cattle Dog,5.0,5.0,4.0,4.0,3.0,2.0,2.0,4.0,5.0,2.0,3.0,5.0
1594,Siberian Husky,3.0,4.0,4.0,4.0,3.0,3.0,5.0,1.0,1.0,3.0,5.0,3.0
1595,Beagle,3.0,3.0,4.0,5.0,5.0,5.0,5.0,1.0,1.0,1.0,3.0,4.0
1596,Golden Retriever,3.0,3.0,5.0,5.0,5.0,5.0,5.0,2.0,5.0,3.0,3.0,3.0
1597,Bernese Mountain Dog,2.0,3.0,2.0,3.0,3.0,4.0,3.0,2.0,4.0,3.0,5.0,3.0
1598,Greyhound,2.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,1.0,4.0,2.0
1599,Great Pyrenees,1.0,3.0,2.0,3.0,2.0,3.0,2.0,4.0,1.0,3.0,5.0,5.0
1600,Cardigan Welsh Corgi,3.0,3.0,3.0,3.0,2.0,4.0,3.0,4.0,4.0,1.0,3.0,5.0
1601,Keeshond,3.0,3.0,3.0,5.0,3.0,4.0,4.0,1.0,3.0,3.0,4.0,5.0
1602,Boston Terrier,3.0,1.0,3.0,3.0,3.0,4.0,3.0,1.0,3.0,1.0,5.0,5.0
1603,Miniature Poodle,4.0,3.0,5.0,4.0,4.0,3.0,4.0,1.0,5.0,5.0,3.0,5.0
1604,Bullmastiff,1.0,2.0,1.0,3.0,2.0,4.0,1.0,5.0,1.0,1.0,5.0,5.0
1605,Weimaraner,5.0,4.0,4.0,3.0,2.0,2.0,2.0,4.0,4.0,1.0,3.0,5.0
1606,Pekingese,1.0,1.0,1.0,2.0,3.0,4.0,2.0,1.0,1.0,5.0,5.0,5.0
1607,Field Spaniel,3.0,3.0,3.0,5.0,3.0,5.0,3.0,2.0,4.0,3.0,3.0,4.0
1608,Pomeranian,4.0,1.0,4.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,3.0,5.0
1609,Miniature Pinscher,5.0,2.0,5.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,5.0
1610,Shih Tzu,3.0,1.0,4.0,4.0,4.0,4.0,4.0,1.0,2.0,4.0,5.0,3.0
1611,Cairn Terrier,4.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,3.0,3.0,5.0
1612,Pembroke Welsh Corgi,3.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,1.0,3.0,5.0
1613,Vizsla,3.0,3.0,4.0,5.0,3.0,4.0,5.0,1.0,3.0,1.0,3.0,4.0
1614,Boxer,5.0,3.0,5.0,5.0,3.0,3.0,3.0,5.0,3.0,1.0,5.0,3.0
1615,Finnish Spitz,3.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,4.0,4.0
1616,Maltese,4.0,1.0,4.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0,4.0,5.0
1617,Basset Hound,2.0,2.0,2.0,4.0,3.0,3.0,3.0,1.0,2.0,2.0,3.0,3.0
1618,Tibetan Terrier,3.0,3.0,3.0,4.0,3.0,3.0,2.0,1.0,3.0,4.0,3.0,4.0
1619,American Staffordshire Terrier,3.0,3.0,3.0,3.0,1.0,1.0,3.0,5.0,4.0,1.0,3.0,5.0
1620,Yorkshire Terrier,4.0,1.0,4.0,3.0,2.0,2.0,3.0,1.0,2.0,4.0,4.0,5.0
1621,Silky Terrier,4.0,2.0,4.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,5.0
1622,Norwich Terrier,4.0,3.0,3.0,4.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,5.0
1623,Shiba Inu,3.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,2.0,3.0,4.0,5.0
1624,Basenji,4.0,3.0,3.0,3.0,2.0,1.0,3.0,1.0,2.0,1.0,3.0,5.0
1625,Plott Hound,3.0,3.0,3.0,3.0,2.0,2.0,2.0,4.0,2.0,1.0,3.0,4.0
1626,Great Dane,2.0,2.0,2.0,4.0,2.0,2.0,4.0,3.0,3.0,1.0,4.0,4.0
1627,Border Terrier,3.0,3.0,3.0,3.0,3.0,2.0,3.0,1.0,4.0,3.0,3.0,4.0
1628,Bull Terrier,4.0,3.0,5.0,3.0,1.0,3.0,3.0,4.0,1.0,1.0,3.0,5.0
1629,Akita,3.0,3.0,3.0,3.0,1.0,2.0,1.0,4.0,3.0,2.0,5.0,5.0
1630,English Foxhound,4.0,4.0,3.0,3.0,5.0,3.0,4.0,1.0,2.0,1.0,3.0,4.0
1631,Belgian Malinois,4.0,5.0,4.0,1.0,3.0,3.0,1.0,5.0,5.0,1.0,3.0,5.0
1632,Bulldog,1.0,1.0,4.0,5.0,1.0,4.0,4.0,2.0,2.0,2.0,5.0,1.0
1633,Wirehaired Pointing Griffon,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,5.0
1634,Norfolk Terrier,4.0,3.0,3.0,1.0,3.0,3.0,3.0,1.0,2.0,3.0,3.0,5.0
1635,English Springer Spaniel,3.0,4.0,4.0,5.0,3.0,5.0,4.0,2.0,5.0,4.0,3.0,4.0
1636,Mastiff,1.0,2.0,1.0,4.0,3.0,4.0,2.0,4.0,3.0,1.0,4.0,5.0
1637,Italian Greyhound,4.0,2.0,3.0,5.0,4.0,4.0,2.0,1.0,3.0,1.0,2.0,3.0
1638,English Coonhound,3.0,3.0,3.0,3.0,4.0,3.0,3.0,2.0,1.0,1.0,3.0,3.0
1639,Afghan Hound,2.0,3.0,3.0,1.0,3.0,3.0,1.0,1.0,2.0,4.0,3.0,3.0
1640,Boerboel,3.0,3.0,2.0,3.0,1.0,2.0,1.0,5.0,2.0,1.0,3.0,5.0
1641,Toy Fox Terrier,4.0,2.0,5.0,5.0,3.0,3.0,2.0,2.0,4.0,1.0,3.0,5.0
1642,Alaskan Malamute,3.0,4.0,3.0,5.0,1.0,1.0,4.0,3.0,1.0,3.0,5.0,3.0
1643,Dogue De Bordeaux,2.0,2.0,2.0,4.0,1.0,3.0,2.0,5.0,2.0,2.0,5.0,5.0
1644,Soft Coated Wheaten Terrier,3.0,3.0,4.0,5.0,3.0,3.0,4.0,2.0,3.0,4.0,5.0,4.0
1645,Airedale Terrier,4.0,3.0,4.0,3.0,1.0,2.0,3.0,4.0,3.0,4.0,3.0,4.0
1646,Whippet,3.0,3.0,3.0,4.0,5.0,4.0,3.0,1.0,3.0,1.0,3.0,4.0
1647,German Wirehaired Pointer,5.0,5.0,4.0,3.0,2.0,3.0,2.0,4.0,3.0,3.0,3.0,5.0
1648,Irish Terrier,3.0,3.0,5.0,2.0,1.0,1.0,2.0,4.0,1.0,4.0,3.0,5.0
1649,Australian Terrier,3.0,3.0,3.0,3.0,3.0,3.0,2.0,1.0,2.0,3.0,3.0,5.0
1650,English Pointer,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,1.0,3.0,4.0
1651,Otterhound,2.0,3.0,3.0,5.0,3.0,3.0,5.0,1.0,2.0,3.0,4.0,4.0
1652,Swedish Vallhund,4.0,4.0,4.0,5.0,3.0,3.0,3.0,2.0,4.0,2.0,3.0,5.0
1653,Standard Schnauzer,4.0,3.0,3.0,2.0,2.0,3.0,1.0,5.0,3.0,4.0,3.0,5.0
1654,Belgian Tervuren,4.0,5.0,4.0,4.0,3.0,3.0,1.0,5.0,5.0,3.0,3.0,5.0
1655,Beauceron,4.0,5.0,4.0,4.0,3.0,3.0,1.0,5.0,5.0,3.0,3.0,5.0
1656,Dalmatian,4.0,3.0,3.0,5.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,4.0
1657,American Foxhound,4.0,4.0,3.0,3.0,5.0,4.0,4.0,1.0,2.0,1.0,3.0,4.0
1658,Cane Corso,3.0,3.0,2.0,4.0,2.0,2.0,2.0,5.0,3.0,1.0,3.0,5.0
1659,Tibetan Spaniel,3.0,2.0,3.0,3.0,4.0,4.0,1.0,1.0,3.0,3.0,4.0,5.0
1660,Papillon,4.0,1.0,5.0,5.0,4.0,4.0,4.0,1.0,5.0,3.0,3.0,5.0
1661,Schipperke,4.0,3.0,3.0,4.0,3.0,3.0,2.0,4.0,3.0,2.0,4.0,5.0
1662,Kuvasz,3.0,4.0,3.0,1.0,1.0,4.0,1.0,5.0,1.0,3.0,4.0,5.0
1663,Saluki,2.0,3.0,3.0,3.0,3.0,3.0,1.0,2.0,3.0,2.0,3.0,3.0
1664,Bloodhound,3.0,3.0,1.0,5.0,3.0,5.0,3.0,1.0,1.0,1.0,4.0,4.0
1665,Leonberger,2.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0
1666,Nova Scotia Duck Tolling Retriever,5.0,5.0,5.0,5.0,5.0,5.0,3.0,2.0,4.0,2.0,3.0,2.0
1667,German Pinscher,4.0,3.0,4.0,4.0,2.0,1.0,2.0,3.0,3.0,1.0,2.0,5.0
1668,Ibizan Hound,3.0,3.0,3.0,2.0,4.0,3.0,3.0,1.0,2.0,2.0,3.0,4.0
1669,Affenpinscher,4.0,3.0,4.0,4.0,3.0,3.0,3.0,1.0,3.0,4.0,4.0,5.0
1670,Japanese Chin,3.0,1.0,4.0,5.0,4.0,4.0,5.0,1.0,3.0,3.0,4.0,5.0
1671,Welsh Terrier,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,4.0,3.0,5.0
1672,Skye Terrier,2.0,2.0,3.0,4.0,1.0,1.0,1.0,1.0,3.0,3.0,4.0,5.0
1673,English Setter,4.0,4.0,3.0,4.0,3.0,4.0,5.0,2.0,3.0,3.0,3.0,4.0
1674,Old English Sheepdog,3.0,3.0,3.0,5.0,3.0,5.0,4.0,3.0,2.0,4.0,4.0,3.0
1675,Havanese,4.0,3.0,5.0,5.0,4.0,4.0,5.0,1.0,4.0,3.0,3.0,4.0
1676,Pharaoh Hound,3.0,4.0,3.0,3.0,4.0,2.0,2.0,1.0,3.0,1.0,3.0,4.0
1677,Bearded Collie,4.0,4.0,4.0,4.0,3.0,3.0,3.0,2.0,3.0,4.0,3.0,4.0
1678,French Bulldog,3.0,1.0,3.0,3.0,3.0,4.0,1.0,1.0,2.0,1.0,5.0,3.0
1679,Canaan Dog,3.0,4.0,3.0,3.0,3.0,4.0,2.0,3.0,4.0,1.0,3.0,5.0
1680,Irish Wolfhound,1.0,3.0,1.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,5.0,3.0
1681,Coton De Tulear,4.0,2.0,4.0,5.0,5.0,5.0,5.0,1.0,4.0,5.0,3.0,2.0
1682,Belgian Sheepdog,4.0,5.0,4.0,4.0,3.0,3.0,1.0,5.0,5.0,3.0,3.0,5.0
1683,Welsh Springer Spaniel,3.0,3.0,3.0,4.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,4.0
1684,Samoyed,3.0,3.0,4.0,4.0,3.0,5.0,4.0,1.0,2.0,3.0,5.0,5.0
1685,Greater Swiss Mountain Dog,2.0,3.0,2.0,3.0,3.0,4.0,2.0,3.0,4.0,1.0,4.0,4.0
1686,Gordon Setter,4.0,4.0,3.0,4.0,2.0,4.0,2.0,3.0,3.0,3.0,3.0,4.0
1687,English Cocker Spaniel,3.0,3.0,4.0,5.0,5.0,5.0,4.0,2.0,4.0,3.0,3.0,4.0
1688,Irish Setter,5.0,5.0,5.0,5.0,3.0,3.0,5.0,1.0,3.0,3.0,3.0,4.0
1689,Lowchen,4.0,1.0,3.0,3.0,4.0,4.0,3.0,1.0,3.0,4.0,3.0,4.0
1690,Neapolitan Mastiff,2.0,1.0,1.0,4.0,1.0,2.0,1.0,5.0,2.0,2.0,5.0,5.0
1691,Norwegian Elkhound,4.0,3.0,4.0,3.0,2.0,2.0,4.0,2.0,3.0,2.0,4.0,3.0
1692,Lakeland Terrier,4.0,3.0,5.0,3.0,1.0,1.0,1.0,1.0,1.0,4.0,3.0,5.0
